word_id,word_text,list_id,category_id,,,,,,,,,,,,,
1,捕,1,1,,,,,,,,,,,,,
2,仰,1,1,,,,,,,,,,,,,
3,碌,1,1,,,,,,,,,,,,,
4,搜,1,1,,,,,,,,,,,,,
5,介,1,1,,,,,,,,,,,,,
6,瓶,1,1,,,,,,,,,,,,,
7,懸,1,1,,,,,,,,,,,,,
8,澤,1,1,,,,,,,,,,,,,
9,守,1,1,,,,,,,,,,,,,
10,綱,1,1,,,,,,,,,,,,,
11,獵,1,1,,,,,,,,,,,,,
12,液,1,1,,,,,,,,,,,,,
13,骨碌碌,1,2,,,,,,,,,,,,,
14,搜索,1,2,,,,,,,,,,,,,
15,介紹,1,2,,,,,,,,,,,,,
16,濃密,1,2,,,,,,,,,,,,,
17,狹長,1,2,,,,,,,,,,,,,
18,色澤,1,2,,,,,,,,,,,,,
19,賞心悅目,1,2,,,,,,,,,,,,,
20,守株待兔,1,2,,,,,,,,,,,,,
21,自投羅網,1,2,,,,,,,,,,,,,
22,獵物,1,2,,,,,,,,,,,,,
23,誘捕,1,2,,,,,,,,,,,,,
24,通常,1,2,,,,,,,,,,,,,
25,強烈,1,2,,,,,,,,,,,,,
26,濃郁,1,2,,,,,,,,,,,,,
27,養分,1,2,,,,,,,,,,,,,
28,屬,2,1,,,,,,,,,,,,,
29,適,2,1,,,,,,,,,,,,,
30,鋒,2,1,,,,,,,,,,,,,
31,兇,2,1,,,,,,,,,,,,,
32,撕,2,1,,,,,,,,,,,,,
33,泉,2,1,,,,,,,,,,,,,
34,潛,2,1,,,,,,,,,,,,,
35,傾,2,1,,,,,,,,,,,,,
36,斜,2,1,,,,,,,,,,,,,
37,矮,2,1,,,,,,,,,,,,,
38,幼,2,1,,,,,,,,,,,,,
39,徵,2,1,,,,,,,,,,,,,
40,寬敞,2,2,,,,,,,,,,,,,
41,屬菸,2,2,,,,,,,,,,,,,
42,哺乳,2,2,,,,,,,,,,,,,
43,祖先,2,2,,,,,,,,,,,,,
44,環境,2,2,,,,,,,,,,,,,
45,退化,2,2,,,,,,,,,,,,,
46,適應,2,2,,,,,,,,,,,,,
47,鋒利,2,2,,,,,,,,,,,,,
48,兇猛,2,2,,,,,,,,,,,,,
49,噴泉,2,2,,,,,,,,,,,,,
50,潛入,2,2,,,,,,,,,,,,,
51,垂直,2,2,,,,,,,,,,,,,
52,傾斜,2,2,,,,,,,,,,,,,
53,特徵,2,2,,,,,,,,,,,,,
54,壽命,2,2,,,,,,,,,,,,,
55,甚至,2,2,,,,,,,,,,,,,
56,鼠,3,1,,,,,,,,,,,,,
57,馴,3,1,,,,,,,,,,,,,
58,矯,3,1,,,,,,,,,,,,,
59,玲,3,1,,,,,,,,,,,,,
60,歇,3,1,,,,,,,,,,,,,
61,豎,3,1,,,,,,,,,,,,,
62,觸,3,1,,,,,,,,,,,,,
63,縫,3,1,,,,,,,,,,,,,
64,扒,3,1,,,,,,,,,,,,,
65,編,3,1,,,,,,,,,,,,,
66,勉,3,1,,,,,,,,,,,,,
67,蔽,3,1,,,,,,,,,,,,,
68,乖巧,3,2,,,,,,,,,,,,,
69,馴良,3,2,,,,,,,,,,,,,
70,矯健,3,2,,,,,,,,,,,,,
71,玲瓏,3,2,,,,,,,,,,,,,
72,格外,3,2,,,,,,,,,,,,,
73,蟄伏不動,3,2,,,,,,,,,,,,,
74,觸動,3,2,,,,,,,,,,,,,
75,連蹦帯跑,3,2,,,,,,,,,,,,,
76,銳利,3,2,,,,,,,,,,,,,
77,敏捷,3,2,,,,,,,,,,,,,
78,縫隙,3,2,,,,,,,,,,,,,
79,通常,3,2,,,,,,,,,,,,,
80,足夠,3,2,,,,,,,,,,,,,
81,堅實,3,2,,,,,,,,,,,,,
82,狹窄,3,2,,,,,,,,,,,,,
83,勉強,3,2,,,,,,,,,,,,,
84,遮蔽,3,2,,,,,,,,,,,,,
85,梳理,3,2,,,,,,,,,,,,,
86,曬,4,1,,,,,,,,,,,,,
87,際,4,1,,,,,,,,,,,,,
88,鋼,4,1,,,,,,,,,,,,,
89,殖,4,1,,,,,,,,,,,,,
